Casename	Study	stat_para	stat_aneu	stat_red	stat_yel	stat_wht	stat_dom	stat_bod	stat_nek	stat_part	stat_press	
agh101.2	msa.1	min	  5075.40	277661.39	     0.00	447165.09	  5075.40	  7408.29	398892.91	    97.73	    97.73	
agh101.2	msa.1	stddev	422202.37	292587.46	     0.00	405443.35	299742.39	386679.95	412794.31	319020.53	354408.01	
agh101.4	msa.1	mean	1215007.73	1020938.95	     0.00	     0.00	1006338.53	1301263.58	1308731.47	375561.27	595503.69	
agh101.4	msa.1	max	5713332.37	4371549.17	     0.00	     0.00	2402797.92	5713332.37	3379362.56	3148090.69	5713332.37	
agh101.4	msa.1	min	  1778.45	 15017.59	     0.00	     0.00	  1778.45	  5048.82	  6998.38	   791.27	   791.27	
agh101.4	msa.1	stddev	781298.05	637547.43	     0.00	     0.00	579077.33	874674.21	740159.48	270949.02	591921.30	
agh101.5	msa.1	mean	840451.24	480929.33	     0.00	     0.00	617511.92	870770.44	1034847.52	390339.14	437456.79	
agh101.5	msa.1	max	1943734.60	744404.27	     0.00	     0.00	1008659.45	1943734.60	1943198.13	1934788.92	1943734.60	
agh101.5	msa.1	min	  2364.65	291334.90	     0.00	     0.00	  2364.65	 23967.39	101703.52	     6.87	     6.87	
agh101.5	msa.1	stddev	410878.77	117859.94	     0.00	     0.00	238017.53	402053.24	464418.52	204248.28	272049.14	
agh103.1	msa.1	mean	1904258.58	2505649.52	     0.00	2425368.35	1927683.18	1690168.06	2324885.75	660719.25	1068022.86	
agh103.1	msa.1	max	5033210.53	3129317.61	     0.00	4052089.81	3909900.40	4052089.81	5033210.53	3989269.29	5033210.53	
agh103.1	msa.1	min	  2124.09	906573.45	     0.00	177846.82	 54922.89	  2124.09	294215.91	   244.39	   244.39	
agh103.1	msa.1	stddev	941655.82	499024.12	     0.00	776452.81	810772.54	909438.33	1021181.83	489473.44	890025.16	
agh106.2	msa.1	mean	947651.96	1249866.03	     0.00	815503.21	652861.39	976253.83	1207196.38	460674.37	515422.27	
agh106.2	msa.1	max	2203437.37	1648579.10	     0.00	2107122.63	2098820.81	2164918.71	2203437.37	1550968.54	2203437.37	
agh106.2	msa.1	min	  2564.56	819906.18	     0.00	  1802.32	 11622.83	  6046.19	  2564.56	   346.28	   346.28	
agh106.2	msa.1	stddev	507995.12	200986.04	     0.00	477247.80	330900.28	513394.21	494338.90	248057.07	327551.94	
agh110.1	msa.1	mean	702578.25	548527.43	     0.00	629887.36	550994.86	797946.26	691787.10	307106.88	360473.78	
agh110.1	msa.1	max	1449345.30	1050227.96	     0.00	974868.42	1239932.19	1449345.30	1181157.14	1082648.40	1449345.30	
agh110.1	msa.1	min	   706.72	 78821.09	     0.00	200003.82	   706.72	308750.06	129087.13	   271.90	   271.90	
agh110.1	msa.1	stddev	283108.47	171595.85	     0.00	159954.42	326984.53	234160.00	228578.43	174514.26	235411.13	
agh128.1	msa.1	mean	1814451.24	1380006.40	     0.00	1893836.42	1657224.90	1842601.82	2129049.48	586099.57	1176467.25	
agh128.1	msa.1	max	10383494.21	8835675.40	     0.00	10193533.74	8822091.69	10383494.21	5846859.03	5023487.26	10383494.21	
agh128.1	msa.1	min	  1069.85	 11426.07	     0.00	  1069.85	  1905.79	  1069.85	  4311.82	    44.35	    44.35	
agh128.1	msa.1	stddev	1250888.34	1081638.36	     0.00	1191304.57	903525.96	1450090.05	1210963.13	371353.47	1095583.30	
agh136.1	msa.1	mean	1230577.36	645470.98	     0.00	1256668.34	1121999.90	1228115.53	1416081.15	427370.22	646754.51	
agh136.1	msa.1	max	3547642.76	2068047.15	     0.00	2802148.91	2689999.00	3022249.49	3547642.76	3867349.65	3867349.65	
agh136.1	msa.1	min	  1321.89	 12858.82	     0.00	  1321.89	 11924.13	  6343.28	  1321.89	   351.76	   351.76	
agh136.1	msa.1	stddev	733045.05	397674.36	     0.00	638845.08	633160.04	705809.01	892499.76	331044.27	595407.05	
agh137.1	msa.1	mean	947511.36	824820.53	     0.00	     0.00	582741.22	1118667.96	1139615.86	441846.24	528898.70	
agh137.1	msa.1	max	2123920.79	1728387.07	     0.00	     0.00	1656084.17	2123920.79	1991178.28	1986728.37	2123920.79	
agh137.1	msa.1	min	  1509.06	 13117.79	     0.00	     0.00	  1509.06	252088.20	452355.08	   253.07	   253.07	
agh137.1	msa.1	stddev	483608.89	422715.13	     0.00	     0.00	398938.48	424661.10	398848.75	249862.29	358312.25	
agh140.1	msa.1	mean	1126392.13	996720.04	     0.00	1041971.58	783700.06	1249863.86	1326729.71	447584.89	576455.78	
agh140.1	msa.1	max	2887719.30	2264465.99	     0.00	2887719.30	2298058.64	2887719.30	2778651.94	3012131.46	3012131.46	
agh140.1	msa.1	min	  4429.97	 14926.40	     0.00	  4429.97	  4429.97	 39648.80	 14926.40	   223.46	   223.46	
agh140.1	msa.1	stddev	626250.75	533390.62	     0.00	613192.90	455851.89	617388.43	663884.57	339095.79	488347.89	
agh142.2	msa.1	mean	867977.41	     0.00	     0.00	     0.00	556200.82	991865.39	953828.89	574482.44	603292.57	
agh142.2	msa.1	max	1826086.31	     0.00	     0.00	     0.00	1198968.06	1663395.25	1826086.31	1968678.23	1968678.23	
agh142.2	msa.1	min	 10587.26	     0.00	     0.00	     0.00	 10587.26	331552.26	 56189.04	   710.07	   710.07	
agh142.2	msa.1	stddev	338275.25	     0.00	     0.00	     0.00	320132.70	182407.29	395857.07	339110.32	350094.11	
agh143.1	msa.1	mean	1120132.50	573995.64	     0.00	1141571.60	1085099.91	1060975.87	1346528.62	544261.51	672811.89	
agh143.1	msa.1	max	2670510.16	2049179.12	     0.00	2159033.87	1589308.42	2589294.32	2670510.16	1905494.10	2670510.16	
agh143.1	msa.1	min	  2930.15	  3416.94	     0.00	517815.10	  3387.82	  2930.15	  4811.94	    52.42	    52.42	
agh143.1	msa.1	stddev	572455.54	512274.04	     0.00	318032.67	343315.58	636811.87	681490.73	243232.05	420251.62	
agh145.1	msa.1	mean	1494598.71	813243.06	     0.00	1104591.99	994378.76	1663723.51	1687390.64	487279.27	953488.05	
agh145.1	msa.1	max	3533526.42	2079825.39	     0.00	3498106.38	3479223.89	3533526.42	3241248.34	2635322.75	3533526.42	
agh145.1	msa.1	min	   959.29	  9707.84	     0.00	   959.29	  9707.84	   959.29	 25197.06	   332.49	   332.49	
agh145.1	msa.1	stddev	761930.22	506241.25	     0.00	711343.92	545571.47	762501.00	713559.91	347023.20	765274.78	
agh148.1	msa.1	mean	1179393.03	826520.31	     0.00	701935.22	960770.87	1059818.57	1681956.79	479383.38	613204.90	
agh148.1	msa.1	max	11304396.97	1535818.48	     0.00	2108659.00	2107111.78	3118617.18	11304396.97	13343848.90	13343848.90	
agh148.1	msa.1	min	  4150.16	367998.47	     0.00	 40647.00	 15059.70	  4150.16	 11451.88	   266.91	   266.91	
agh148.1	msa.1	stddev	922958.49	257336.18	     0.00	392341.83	552507.52	653726.23	1432277.00	399041.62	606144.25	
agh149.1	msa.1	mean	1432391.53	2395037.28	     0.00	1153913.21	1026663.35	1508505.76	1696925.09	448327.31	724658.10	
agh149.1	msa.1	max	3608834.21	2854312.81	     0.00	3412541.31	2854312.81	3129763.02	3608834.21	2421510.49	3608834.21	
agh149.1	msa.1	min	  3162.52	1833943.32	     0.00	 10869.88	 77469.02	 10869.88	  3162.52	   506.57	   506.57	
agh149.1	msa.1	stddev	829239.10	138169.40	     0.00	687273.29	647087.98	772011.28	949522.91	294881.61	671713.25	
agh153.1	msa.1	mean	1364508.45	     0.00	     0.00	1477514.13	1326165.22	1377167.32	1399588.73	446931.38	777624.65	
agh153.1	msa.1	max	3888977.87	     0.00	     0.00	3406291.81	2615946.05	3888977.87	3864138.96	3542972.07	3888977.87	
agh153.1	msa.1	min	  1054.85	     0.00	     0.00	  1054.85	  1544.77	  1054.85	 13481.68	   137.91	   137.91	
agh153.1	msa.1	stddev	762799.89	     0.00	     0.00	715627.99	662361.51	786577.23	859141.79	381185.24	708591.92	
cta3_left	msa.1	mean	1467485.27	     0.00	     0.00	1810939.42	1293622.70	1495650.30	1824922.71	420285.72	936583.43	
cta3_left	msa.1	max	6139834.17	     0.00	     0.00	3351678.04	2665205.87	3351678.04	6139834.17	3010850.72	6139834.17	
cta3_left	msa.1	min	   781.53	     0.00	     0.00	626523.86	   781.53	  1556.01	  3506.64	   301.87	   301.87	
cta3_left	msa.1	stddev	754172.56	     0.00	     0.00	655788.34	479297.40	673571.37	1263734.76	325663.14	779931.56	
cta3_right	msa.1	mean	1460506.40	1133790.49	     0.00	1370712.42	1297799.90	1401684.70	1881641.53	543273.38	865084.32	
cta3_right	msa.1	max	5383708.12	3015382.30	     0.00	3407029.32	3364964.91	3524210.66	5383708.12	4279242.84	5383708.12	
cta3_right	msa.1	min	  1372.24	 82823.82	     0.00	  1372.24	  1372.24	  1429.68	  2372.01	     3.05	     3.05	
cta3_right	msa.1	stddev	851959.76	514266.88	     0.00	763531.24	633041.66	808294.37	1109429.39	341947.23	722617.65	
cta5	msa.1	mean	1598690.38	     0.00	     0.00	     0.00	1471138.20	1522515.76	1983982.42	443280.61	960560.84	
cta5	msa.1	max	5980434.54	     0.00	     0.00	     0.00	3106544.16	3097637.22	5980434.54	4294071.63	5980434.54	
cta5	msa.1	min	  3908.13	     0.00	     0.00	     0.00	  3908.13	 14603.18	  7332.99	   254.44	   254.44	
cta5	msa.1	stddev	825757.86	     0.00	     0.00	     0.00	734539.14	669793.67	1148156.34	314276.61	830614.17	
micro04	msa.1	mean	1210269.98	592751.61	     0.00	     0.00	895766.98	1279061.86	1459474.37	442061.37	670063.38	
micro04	msa.1	max	2957765.28	1523608.90	     0.00	     0.00	1869794.96	2488454.60	2957765.28	2004619.79	2957765.28	
micro04	msa.1	min	  1220.13	148558.61	     0.00	     0.00	  1220.13	447734.84	 55594.53	   201.83	   201.83	
micro04	msa.1	stddev	515653.98	253387.51	     0.00	     0.00	454143.90	368242.91	645135.82	263437.06	500887.08	
micro06	msa.1	mean	1368576.83	1341238.18	     0.00	984297.49	963319.39	1486446.00	1756975.03	464526.60	803219.39	
micro06	msa.1	max	3482952.34	2543205.33	     0.00	3189706.21	1916650.09	3097419.37	3482952.34	3273998.55	3482952.34	
micro06	msa.1	min	   119.79	611559.46	     0.00	   119.79	   119.79	  3753.38	  2153.38	    95.06	    95.06	
micro06	msa.1	stddev	710233.12	403047.12	     0.00	669695.45	449600.47	647874.74	858916.39	319541.83	666570.26	
micro08	msa.1	mean	1036561.58	708584.72	     0.00	1039659.70	778682.60	1062521.06	1272217.43	295553.96	564865.26	
micro08	msa.1	max	2363325.31	1061717.15	     0.00	2012419.48	1540727.99	1999952.94	2363325.31	1321814.33	2363325.31	
micro08	msa.1	min	   309.92	311090.15	     0.00	 12806.96	  3415.59	   309.92	  2067.05	    19.19	    19.19	
micro08	msa.1	stddev	552538.44	138545.32	     0.00	595973.59	334605.85	565574.59	600946.36	201911.12	513752.94	
micro09	msa.1	mean	1242885.70	     0.00	     0.00	992935.22	562641.28	1255784.40	2087014.70	538393.72	622095.83	
micro09	msa.1	max	6723736.82	     0.00	     0.00	5680369.87	1361003.08	4201024.67	6723736.82	5734205.03	6723736.82	
micro09	msa.1	min	  5250.99	     0.00	     0.00	  2882.12	  5250.99	 28682.56	 13759.09	    56.31	    56.31	
micro09	msa.1	stddev	1070958.88	     0.00	     0.00	1064084.87	222225.75	728893.17	1550493.00	309268.98	522031.10	
micro10	msa.1	mean	807439.87	1030093.32	     0.00	586666.55	775133.40	880498.62	607244.93	389204.71	518349.72	
micro10	msa.1	max	1510431.83	1299517.01	     0.00	1325537.46	1510431.83	1425579.04	1234376.40	1114184.43	1510431.83	
micro10	msa.1	min	  3872.48	636395.11	     0.00	 21800.12	 21800.12	176890.68	  3872.48	  2005.74	  2005.74	
micro10	msa.1	stddev	307806.30	186047.41	     0.00	275722.23	357994.64	240210.55	306810.38	239162.84	333445.59	
micro12	msa.1	mean	2063162.42	     0.00	     0.00	1896877.60	1913561.61	1849223.83	2892242.36	516100.25	1199018.87	
micro12	msa.1	max	6271430.65	     0.00	     0.00	6160082.94	3526937.97	4657737.30	6271430.65	3712755.38	6271430.65	
micro12	msa.1	min	   451.56	     0.00	     0.00	  2704.24	  5026.14	   451.56	 11376.79	    73.23	    73.23	
micro12	msa.1	stddev	1055793.92	     0.00	     0.00	1241364.53	725422.29	900994.58	1448165.57	377314.70	1077832.56	
micro13	msa.1	mean	1279367.95	1615802.74	     0.00	1615592.71	1281999.12	1205033.02	1438002.75	354409.47	787644.11	
micro13	msa.1	max	3394502.21	2591626.10	     0.00	2521669.84	2628485.91	3163778.67	3394502.21	2284628.64	3394502.21	
micro13	msa.1	min	   343.63	782583.23	     0.00	338899.01	 47880.73	   343.63	   616.92	  1974.30	   343.63	
micro13	msa.1	stddev	669096.58	524194.21	     0.00	501720.94	433755.18	701122.91	780673.76	233528.95	672096.98	
micro14	msa.1	mean	1970669.61	1907773.34	     0.00	2535066.16	1661136.42	2102728.91	2096860.45	533812.72	1226092.36	
micro14	msa.1	max	6195851.62	6195851.62	     0.00	4652454.92	3362028.90	4388080.41	6195851.62	4621779.15	6195851.62	
micro14	msa.1	min	    31.64	 51249.81	     0.00	    31.64	    57.42	  1347.53	    31.64	    72.28	    31.64	
micro14	msa.1	stddev	1037487.51	1149789.58	     0.00	1321103.74	780995.78	1063840.66	1191616.42	317290.58	1042221.66	
micro15_l	msa.1	mean	2168035.73	3332909.90	     0.00	2414520.22	1769427.76	2403996.61	2129735.63	403922.82	1558850.40	
micro15_l	msa.1	max	8041452.59	3999081.99	     0.00	8041452.59	3767799.91	8041452.59	5030148.60	2081806.87	8041452.59	
micro15_l	msa.1	min	   398.91	2101160.91	     0.00	   398.91	  3286.86	   398.91	  2794.25	   213.78	   213.78	
micro15_l	msa.1	stddev	1175788.14	433184.76	     0.00	1365527.62	790404.08	1311108.66	1106191.29	293421.45	1279990.17	
micro15_r	msa.1	mean	1189691.94	1407442.89	     0.00	1100437.16	972101.47	1242378.94	1403052.01	416720.30	663713.82	
micro15_r	msa.1	max	2899725.58	2703684.53	     0.00	2458033.61	2002472.34	2401966.13	2899725.58	2244300.40	2899725.58	
micro15_r	msa.1	min	  4825.32	198882.68	     0.00	  4825.32	  4825.32	110549.93	 59628.72	   224.80	   224.80	
micro15_r	msa.1	stddev	496167.24	527007.64	     0.00	446529.16	494994.44	393374.26	582975.83	242770.71	498680.67	
micro18	msa.1	mean	2058163.04	2181930.48	     0.00	     0.00	2001589.14	1982851.07	2309283.99	457857.05	1313966.82	
micro18	msa.1	max	6996462.37	4239014.02	     0.00	     0.00	4771056.52	4560373.74	6996462.37	5739598.61	6996462.37	
micro18	msa.1	min	   219.45	791636.41	     0.00	     0.00	 19359.72	   219.45	   434.61	   320.63	   219.45	
micro18	msa.1	stddev	1234062.10	910791.26	     0.00	     0.00	1019066.42	1251827.09	1424561.97	398987.40	1235252.18	
mri8	msa.1	mean	1339121.78	     0.00	     0.00	1080522.28	926415.07	1586533.19	1325813.91	466527.32	817279.84	
mri8	msa.1	max	4130160.37	     0.00	     0.00	2844602.76	2171665.95	4130160.37	3632393.74	1732595.05	4130160.37	
mri8	msa.1	min	   679.13	     0.00	     0.00	 12693.50	   679.13	  1658.63	  6723.26	  1121.59	   679.13	
mri8	msa.1	stddev	723418.74	     0.00	     0.00	664043.35	447306.40	757522.68	678284.16	235028.06	653019.15	
mri9	msa.1	mean	1777318.36	     0.00	     0.00	1270338.96	1513297.75	1666332.96	2425699.01	499819.76	1031026.20	
mri9	msa.1	max	6887037.57	     0.00	     0.00	2033309.90	3649919.46	4129527.44	6887037.57	3243203.61	6887037.57	
mri9	msa.1	min	  1497.13	     0.00	     0.00	543153.04	  1497.13	 44332.02	 18791.08	   833.62	   833.62	
mri9	msa.1	stddev	1067977.12	     0.00	     0.00	365471.63	863659.46	920669.08	1357762.71	332048.06	967013.97	
newCTA23	msa.1	mean	1529470.33	     0.00	     0.00	1629278.19	1290482.30	1632044.42	1736459.11	381931.29	975941.96	
newCTA23	msa.1	max	4111012.36	     0.00	     0.00	3662513.37	3205781.96	4111012.36	3982995.22	2271217.80	4111012.36	
newCTA23	msa.1	min	   841.43	     0.00	     0.00	   841.43	  3354.82	   841.43	 29391.05	    70.42	    70.42	
newCTA23	msa.1	stddev	863854.87	     0.00	     0.00	795621.35	713680.29	875858.41	983790.02	254804.50	863947.15	
newCTA33	msa.1	mean	1522068.83	2471586.38	     0.00	     0.00	1168944.57	1643602.16	1691924.04	436408.38	655513.44	
newCTA33	msa.1	max	3963382.97	3071766.46	     0.00	     0.00	3115812.00	3963382.97	3748962.04	2210529.89	3963382.97	
newCTA33	msa.1	min	   467.70	1568274.64	     0.00	     0.00	   467.70	 56090.49	  5957.69	   255.68	   255.68	
newCTA33	msa.1	stddev	816017.93	373912.66	     0.00	     0.00	726092.75	783420.08	853220.37	288361.47	624999.67	
newCTA35	msa.1	mean	1158176.29	1218356.18	     0.00	550401.57	947765.22	1187199.63	1346170.08	497352.91	585817.63	
newCTA35	msa.1	max	2665694.13	2652234.43	     0.00	2493631.94	1586379.94	2462285.53	2665694.13	3365518.22	3365518.22	
newCTA35	msa.1	min	   130.40	197774.93	     0.00	   202.11	  4312.40	   130.40	  7555.10	   167.59	   130.40	
newCTA35	msa.1	stddev	646764.84	620344.54	     0.00	437720.42	324399.97	637045.91	843767.22	334753.96	451321.24	
nwh002.1	msa.1	mean	891615.82	782592.49	     0.00	     0.00	717666.75	944702.98	1018201.50	410611.90	493032.19	
nwh002.1	msa.1	max	1911676.50	1446992.54	     0.00	     0.00	1645242.98	1674192.55	1911676.50	1733949.85	1911676.50	
nwh002.1	msa.1	min	  2409.97	421010.95	     0.00	     0.00	  2409.97	100708.14	 34338.24	   281.89	   281.89	
nwh002.1	msa.1	stddev	364509.04	222379.72	     0.00	     0.00	341371.86	322363.83	404294.19	204209.26	300289.93	
nwh004.1	msa.1	mean	1116883.52	1183336.14	     0.00	819382.69	795700.80	1120652.37	1399148.41	652850.35	707492.94	
nwh004.1	msa.1	max	3058537.65	2386960.08	     0.00	2709837.88	1870533.42	2709837.88	3058537.65	3476811.77	3476811.77	
nwh004.1	msa.1	min	  7690.52	289256.49	     0.00	  7690.52	  7690.52	 15771.96	 17234.44	   110.19	   110.19	
nwh004.1	msa.1	stddev	671223.40	469162.30	     0.00	570822.94	489090.28	643675.55	730075.91	467618.79	518017.33	
nwh006.1	msa.1	mean	1002864.39	1042452.14	     0.00	434062.89	891978.98	1099508.61	939387.68	306459.29	458417.63	
nwh006.1	msa.1	max	2236302.30	1424208.15	     0.00	1352207.84	1970773.65	2200022.86	2236302.30	1406560.22	2236302.30	
nwh006.1	msa.1	min	  3272.03	534479.96	     0.00	  3272.03	 10268.97	  3272.03	 22760.53	    94.72	    94.72	
nwh006.1	msa.1	stddev	454960.28	144785.34	     0.00	333561.03	414392.60	447880.96	472780.41	165360.01	386363.03	
nwh007.1	msa.1	mean	1089707.49	863746.64	     0.00	781251.65	633765.19	1224877.87	1338548.82	434474.50	495681.59	
nwh007.1	msa.1	max	3450613.20	1600739.32	     0.00	2032163.18	2000412.75	3450613.20	3321209.14	1980015.94	3450613.20	
nwh007.1	msa.1	min	  2303.06	  2303.06	     0.00	  6798.19	  6798.19	  2303.06	 51311.11	   864.31	   864.31	
nwh007.1	msa.1	stddev	667735.05	435805.19	     0.00	517923.67	424089.48	701656.07	572162.88	230368.12	355134.68	
nwh008.2	msa.1	mean	439579.57	445935.34	     0.00	     0.00	470909.37	416477.10	448189.36	231204.99	244873.82	
nwh008.2	msa.1	max	733915.56	652437.75	     0.00	     0.00	722132.95	687789.64	733915.56	746294.27	746294.27	
nwh008.2	msa.1	min	  2462.67	148896.19	     0.00	     0.00	145585.16	  2462.67	  2956.61	    63.12	    63.12	
nwh008.2	msa.1	stddev	167599.86	107610.89	     0.00	     0.00	135568.64	180869.07	169487.13	101649.95	118991.28	
nwh010.1	msa.1	mean	554903.44	532023.68	     0.00	     0.00	449231.50	584264.43	682157.88	441531.03	450585.74	
nwh010.1	msa.1	max	1173107.91	936770.93	     0.00	     0.00	751143.72	1048990.95	1173107.91	1040341.62	1173107.91	
nwh010.1	msa.1	min	 14843.29	 29428.02	     0.00	     0.00	 38793.81	 14843.29	 31621.62	   211.71	   211.71	
nwh010.1	msa.1	stddev	238935.28	233605.77	     0.00	     0.00	133672.81	235963.99	316008.62	195252.43	201451.93	
nwh011.1	msa.1	mean	792630.26	890607.33	     0.00	678445.04	892520.06	646148.87	1034321.15	379270.32	442620.92	
nwh011.1	msa.1	max	2232942.02	1409357.69	     0.00	1297309.48	1409357.69	1444105.44	2232942.02	2493961.72	2493961.72	
nwh011.1	msa.1	min	  4666.66	301770.46	     0.00	 72479.36	 31342.43	  4666.66	 11314.19	   125.45	   125.45	
nwh011.1	msa.1	stddev	406083.10	288460.83	     0.00	313421.19	286141.53	368099.59	536851.11	235936.18	307539.74	
nwh013.1	msa.1	mean	487400.41	520152.95	     0.00	     0.00	289535.29	532290.64	608697.66	450050.24	450801.19	
nwh013.1	msa.1	max	1036873.07	1058008.20	     0.00	     0.00	751906.84	998903.37	1036873.07	1058008.20	1058008.20	
nwh013.1	msa.1	min	  3167.67	  3167.67	     0.00	     0.00	 10827.72	  3167.67	  3219.56	   153.08	   153.08	
nwh013.1	msa.1	stddev	246107.60	275129.22	     0.00	     0.00	144877.54	218384.65	263075.39	239035.06	239236.76	
nwh016.1	msa.1	mean	1130671.37	1021903.54	     0.00	984710.06	1122938.27	1164810.84	1078215.97	500499.86	590895.78	
nwh016.1	msa.1	max	3434186.25	3434186.25	     0.00	2057238.86	2057238.86	3434186.25	1832681.28	1703206.45	3434186.25	
